id,name,sex,age,height,weight,country,year,season,sport,event,medal,athletes,totalmedals,topathletes
1313,Robyn Mokihana Ah Mow-Santos,F,32,172.0,67.0,United States,2008,Summer,Volleyball,Volleyball Women's Volleyball,Silver,932,1,0
1356,Christian Ahlmann,M,29,189.0,80.0,Germany,2004,Summer,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze,1103,1,0
1356,Christian Ahlmann,M,41,189.0,80.0,Germany,2016,Summer,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze,1054,1,0
1374,Tontowi Ahmad,M,29,179.0,72.0,Indonesia-1,2016,Summer,Badminton,Badminton Mixed Doubles,Gold,1054,1,1
1379,Jrg Ahmann,M,34,190.0,88.0,Germany-1,2000,Summer,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Bronze,1124,1,0
1444,"Christian ""Chris"" Ahrens",M,28,195.0,97.0,United States,2004,Summer,Rowing,Rowing Men's Coxed Eights,Gold,1103,1,1
1466,Matteo Aicardi,M,26,192.0,102.0,Italy,2012,Summer,Water Polo,Water Polo Men's Water Polo,Silver,1023,1,0
1466,Matteo Aicardi,M,30,192.0,102.0,Italy,2016,Summer,Water Polo,Water Polo Men's Water Polo,Bronze,1054,1,0
1467,Mara Magdalena Aicega Amicarelli,F,26,165.0,60.0,Argentina,2000,Summer,Hockey,Hockey Women's Hockey,Silver,880,1,0
1467,Mara Magdalena Aicega Amicarelli,F,30,165.0,60.0,Argentina,2004,Summer,Hockey,Hockey Women's Hockey,Bronze,898,1,0
1467,Mara Magdalena Aicega Amicarelli,F,34,165.0,60.0,Argentina,2008,Summer,Hockey,Hockey Women's Hockey,Bronze,932,1,0
1478,Rosaria Aiello,F,27,172.0,74.0,Italy,2016,Summer,Water Polo,Water Polo Women's Water Polo,Silver,969,1,0
1481,Hannes Aigner,M,23,183.0,75.0,Germany,2012,Summer,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Bronze,1023,1,0
1487,Ryoji Aikawa,M,28,183.0,85.0,Japan,2004,Summer,Baseball,Baseball Men's Baseball,Bronze,1103,1,0
1498,"Charles Benedict ""Ben"" Ainslie",M,23,183.0,90.0,Great Britain,2000,Summer,Sailing,Sailing Mixed One Person Dinghy,Gold,1124,1,4
1498,"Charles Benedict ""Ben"" Ainslie",M,27,183.0,90.0,Great Britain,2004,Summer,Sailing,Sailing Men's One Person Dinghy,Gold,1103,1,4
1498,"Charles Benedict ""Ben"" Ainslie",M,31,183.0,90.0,Great Britain,2008,Summer,Sailing,Sailing Mixed One Person Dinghy,Gold,1116,1,4
1498,"Charles Benedict ""Ben"" Ainslie",M,35,183.0,90.0,Great Britain,2012,Summer,Sailing,Sailing Men's One Person Heavyweight Dinghy,Gold,1023,1,4
